,Utility,FIPS,Solar,ESS
156,New York State Elec & Gas Corp,36107,862.054403,0.338101768
157,New York State Elec & Gas Corp,36025,862.054403,0.338101768
158,New York State Elec & Gas Corp,36065,862.054403,0.338101768
159,New York State Elec & Gas Corp,36043,862.054403,0.338101768
160,New York State Elec & Gas Corp,36069,862.054403,0.338101768
161,New York State Elec & Gas Corp,36099,862.054403,0.338101768
162,New York State Elec & Gas Corp,36097,862.054403,0.338101768
163,New York State Elec & Gas Corp,36095,862.054403,0.338101768
164,New York State Elec & Gas Corp,36091,862.054403,0.338101768
165,New York State Elec & Gas Corp,36017,862.054403,0.338101768
166,New York State Elec & Gas Corp,36015,862.054403,0.338101768
167,New York State Elec & Gas Corp,36013,862.054403,0.338101768
168,New York State Elec & Gas Corp,36011,862.054403,0.338101768
169,New York State Elec & Gas Corp,36019,862.054403,0.338101768
170,New York State Elec & Gas Corp,36041,862.054403,0.338101768
171,New York State Elec & Gas Corp,36053,862.054403,0.338101768
172,New York State Elec & Gas Corp,36077,862.054403,0.338101768
173,New York State Elec & Gas Corp,36119,862.054403,0.338101768
174,New York State Elec & Gas Corp,36071,862.054403,0.338101768
175,New York State Elec & Gas Corp,36031,862.054403,0.338101768
176,New York State Elec & Gas Corp,36033,862.054403,0.338101768
177,New York State Elec & Gas Corp,36111,862.054403,0.338101768
178,New York State Elec & Gas Corp,36079,862.054403,0.338101768
179,New York State Elec & Gas Corp,36117,862.054403,0.338101768
180,New York State Elec & Gas Corp,36115,862.054403,0.338101768
181,Green Mountain Power Corp,50017,6708.637433,2.181862316
182,Green Mountain Power Corp,50001,6708.637433,2.181862316
183,Green Mountain Power Corp,50003,6708.637433,2.181862316
184,Green Mountain Power Corp,50005,6708.637433,2.181862316
185,Green Mountain Power Corp,50007,6708.637433,2.181862316
186,Green Mountain Power Corp,50023,6708.637433,2.181862316
187,Green Mountain Power Corp,50027,6708.637433,2.181862316
188,Green Mountain Power Corp,50025,6708.637433,2.181862316
189,Hawaiian Electric Co Inc,15003,4193.392584,532.3645541
190,Tucson Electric Power Co,04019,1199.679265,291.3142679
191,Southern California Edison Co,06065,3622.430772,81.11963239
192,Southern California Edison Co,06029,3622.430772,81.11963239
193,Southern California Edison Co,06031,3622.430772,81.11963239
194,Southern California Edison Co,06039,3622.430772,81.11963239
195,Southern California Edison Co,06059,3622.430772,81.11963239
196,Southern California Edison Co,06071,3622.430772,81.11963239
197,Southern California Edison Co,06057,3622.430772,81.11963239
198,Southern California Edison Co,06083,3622.430772,81.11963239
199,Southern California Edison Co,06037,3622.430772,81.11963239
200,Southern California Edison Co,06027,3622.430772,81.11963239
201,Southern California Edison Co,06051,3622.430772,81.11963239
202,Southern California Edison Co,06019,3622.430772,81.11963239
203,Southern California Edison Co,06107,3622.430772,81.11963239
204,Southern California Edison Co,06111,3622.430772,81.11963239
205,Commonwealth Edison Co,17103,742.8856876,6.73e-16
206,Commonwealth Edison Co,17105,742.8856876,6.73e-16
207,Commonwealth Edison Co,17203,742.8856876,6.73e-16
208,Commonwealth Edison Co,17201,742.8856876,6.73e-16
209,Commonwealth Edison Co,17063,742.8856876,6.73e-16
210,Commonwealth Edison Co,17167,742.8856876,6.73e-16
211,Commonwealth Edison Co,17043,742.8856876,6.73e-16
212,Commonwealth Edison Co,17123,742.8856876,6.73e-16
213,Commonwealth Edison Co,17141,742.8856876,6.73e-16
214,Commonwealth Edison Co,17007,742.8856876,6.73e-16
215,Commonwealth Edison Co,17093,742.8856876,6.73e-16
216,Commonwealth Edison Co,17091,742.8856876,6.73e-16
217,Commonwealth Edison Co,17097,742.8856876,6.73e-16
218,Commonwealth Edison Co,17197,742.8856876,6.73e-16
219,Commonwealth Edison Co,17195,742.8856876,6.73e-16
220,Commonwealth Edison Co,17099,742.8856876,6.73e-16
221,Commonwealth Edison Co,17031,742.8856876,6.73e-16
222,Commonwealth Edison Co,17111,742.8856876,6.73e-16
223,Commonwealth Edison Co,17037,742.8856876,6.73e-16
224,Commonwealth Edison Co,17177,742.8856876,6.73e-16
225,Commonwealth Edison Co,17053,742.8856876,6.73e-16
226,Commonwealth Edison Co,17050,742.8856876,6.73e-16
227,Commonwealth Edison Co,17011,742.8856876,6.73e-16
228,Commonwealth Edison Co,17015,742.8856876,6.73e-16
229,Commonwealth Edison Co,17073,742.8856876,6.73e-16
230,Commonwealth Edison Co,17085,742.8856876,6.73e-16
231,Commonwealth Edison Co,17089,742.8856876,6.73e-16
232,Unitil Energy Systems,33015,1188.900053,-7.19e-15
233,Unitil Energy Systems,33013,1188.900053,-7.19e-15
