,Utility,City,Zip,Tariff, Bill Before Solar , Bill Solar Only , Bill PV+ESS , Solar Savings , ESS Savings , pv + ess savings , Rate , is max ? 
20,Consolidated Edison Co-NY Inc,White Plains-Westchester County AP,10610,EL1-PSC," 3,508 "," 1,774 "," 1,774 "," 1,734 ", (0)," 1,734 ",,
21,Consolidated Edison Co-NY Inc,White Plains-Westchester County AP,10610,EL8," 1,573 ", 804 , 793 , 769 , 11 , 781 ,,
22,Consolidated Edison Co-NY Inc,White Plains-Westchester County AP,10610,EL1-TOD-PSC," 3,372 "," 1,481 "," 1,458 "," 1,891 ", 22 ," 1,914 ",,
23,Consolidated Edison Co-NY Inc,White Plains-Westchester County AP,10610,EL1," 3,684 "," 1,603 "," 1,577 "," 2,082 ", 26 ," 2,108 ", 1 ,yes
24,Delmarva Power,Dover AFB,19803,R-TOU-ND," 1,459 ", 453 , 403 ," 1,006 ", 50 ," 1,056 ",,
25,Delmarva Power,Dover AFB,19803,R-TOU-SOP," 2,592 "," 1,105 "," 1,032 "," 1,487 ", 73 ," 1,560 ", 1 ,yes
26,Delmarva Power,Dover AFB,19803,R," 1,678 ", 838 , 838 , 840 , 0 , 840 ,,
27,Delmarva Power,Dover AFB,19803,R-TOU, 43 , 21 , 21 , 21 , (0), 21 ,,
28,Eversource Energy (Formerly Connecticut Light & Power Co),Hartford-Bradley Intl AP,6199,1," 2,625 "," 1,235 "," 1,235 "," 1,389 ", (0)," 1,389 ",,
29,Eversource Energy (Formerly Connecticut Light & Power Co),Hartford-Bradley Intl AP,6199,7," 2,607 "," 1,182 "," 1,057 "," 1,425 ", 125 ," 1,550 ", 1 ,yes
30,Eversource Energy (Formerly Connecticut Light & Power Co),Hartford-Bradley Intl AP,6199,5," 2,391 "," 1,129 "," 1,129 "," 1,262 ", (0)," 1,262 ",,
31,Eversource Energy (Formerly Connecticut Light & Power Co),Hartford-Bradley Intl AP,6199,18," 2,200 "," 1,041 "," 1,041 "," 1,159 ", (0)," 1,159 ",,
32,Eversource Energy (Formerly NSTAR Electric Company),Boston-Logan Intl AP,2298,R-2 (A2)-NEM," 2,985 "," 1,674 "," 1,486 "," 1,311 ", 187 ," 1,499 ",,
33,Green Mountain Power Corp,Rutland State AP,5702,11," 2,594 "," 1,194 ", 905 ," 1,400 ", 289 ," 1,689 ",,
34,Green Mountain Power Corp,Rutland State AP,5702,13-NEM2," 10,157 "," 5,876 "," 4,328 "," 4,281 "," 1,548 "," 5,830 ",,
35,Green Mountain Power Corp,Rutland State AP,5702,13," 10,166 "," 3,457 "," 3,455 "," 6,709 ", 2 ," 6,711 ",,
36,Green Mountain Power Corp,Rutland State AP,5702,1," 2,399 "," 1,085 "," 1,085 "," 1,314 ", (0)," 1,314 ",,
37,Green Mountain Power Corp,Rutland State AP,5702,61," 2,201 ", 880 , 851 ," 1,320 ", 29 ," 1,350 ",,
38,Green Mountain Power Corp,Rutland State AP,5702,3-NEM2," 1,291 ", 361 , 361 , 930 , (0), 930 ,,
39,Green Mountain Power Corp,Rutland State AP,5702,3," 1,298 ", 561 , 561 , 738 , (0), 738 ,,
40,Green Mountain Power Corp,Rutland State AP,5702,11-NEM2," 2,594 "," 1,243 ", 999 ," 1,351 ", 244 ," 1,595 ",,
41,Green Mountain Power Corp,Rutland State AP,5702,61-NEM2," 2,201 ", 914 , 829 ," 1,287 ", 85 ," 1,372 ",,
42,Green Mountain Power Corp,Rutland State AP,5702,01-NEM2," 2,399 "," 1,115 "," 1,064 "," 1,284 ", 51 ," 1,335 ",,
43,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,TOU-R," 7,147 "," 4,010 "," 3,952 "," 3,137 ", 58 ," 3,195 ",,
