,Utility,City,Zip,Tariff, Bill Before Solar , Bill Solar Only , Bill PV+ESS , Solar Savings , ESS Savings , pv + ess savings , Rate , is max ? 
179,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-D-T-EH-NEM2," 2,921 ", 191 , (31)," 2,731 ", 222 ," 2,952 ",,
180,Southern California Edison Co,Los Angeles Intl AP,90101,DMS-3," 3,629 ", 429 , 429 ," 3,200 ", 0 ," 3,200 ",,
181,Southern California Edison Co,Los Angeles Intl AP,90101,D," 4,078 ", 490 , 490 ," 3,588 ", 0 ," 3,588 ",,
182,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-D-TEV-EH," 3,434 ", (182), (263)," 3,617 ", 81 ," 3,697 ",,
183,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-DPP-3-NEM2," 2,429 ", 672 , 334 ," 1,757 ", 337 ," 2,094 ",,
184,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-DPP-2-NEM2," 3,050 ", 348 , 96 ," 2,702 ", 252 ," 2,953 ",,
185,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-D-2," 2,344 ", (91), (169)," 2,435 ", 78 ," 2,513 ",,
186,Southern California Edison Co,Los Angeles Intl AP,90101,SCE_ImpExp1," 2,558 ", 403 , 403 ," 2,155 ", 0 ," 2,155 ",,
187,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-D-1," 2,164 ", (213), (313)," 2,378 ", 99 ," 2,477 ",,
188,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-D-A-NEM2," 3,100 ", 86 , (236)," 3,014 ", 322 ," 3,336 ",,
189,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-D-5-8PM-NEM2," 3,069 "," 1,106 ", 544 ," 1,963 ", 562 ," 2,525 ",,
190,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-DPP-2," 3,048 ", 244 , 45 ," 2,805 ", 198 ," 3,003 ",,
191,Southern California Edison Co,Los Angeles Intl AP,90101,D-CARE," 2,744 ", 328 , 328 ," 2,416 ", 0 ," 2,416 ",,
192,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-D-T-NEM2," 2,921 ", 189 , (32)," 2,732 ", 222 ," 2,954 ",,
193,Southern California Edison Co,Los Angeles Intl AP,90101,D-FERA-NEM2," 3,589 ", 539 , 539 ," 3,050 ", 0 ," 3,050 ",,
194,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-D-A," 3,100 ", (21), (334)," 3,120 ", 314 ," 3,434 ", 1 ,
195,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-D-TEV," 3,435 ", (187), (268)," 3,622 ", 81 ," 3,704 ",,
196,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-DPP-1-NEM2," 3,118 ", 193 , 99 ," 2,925 ", 94 ," 3,019 ",,
197,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-D-T-EH," 2,921 ", 84 , (138)," 2,837 ", 222 ," 3,059 ",,
198,Southern California Edison Co,Los Angeles Intl AP,90101,D-FERA," 3,589 ", 429 , 429 ," 3,161 ", 0 ," 3,161 ",,
199,Southern California Edison Co,Los Angeles Intl AP,90101,D-EH," 4,075 ", 501 , 501 ," 3,574 ", 0 ," 3,574 ",,
200,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-EV-1," 2,496 ", 123 , (350)," 2,373 ", 473 ," 2,846 ",,
201,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-EV-1-NEM2," 2,496 ", 229 , (243)," 2,267 ", 472 ," 2,739 ",,
202,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-D-B-NEM2," 2,193 ", 275 , (35)," 1,918 ", 309 ," 2,227 ",,
203,Tucson Electric Power Co,Tucson Intl AP,85641,R-08-70," 1,631 ", 652 , 426 , 979 , 225 ," 1,204 ",,
204,Tucson Electric Power Co,Tucson Intl AP,85641,R-05-70F," 1,579 ", 653 , 402 , 926 , 252 ," 1,177 ",,
205,Tucson Electric Power Co,Tucson Intl AP,85641,R-04-70F," 1,571 ", 650 , 398 , 921 , 252 ," 1,172 ",,
206,Tucson Electric Power Co,Tucson Intl AP,85641,R-05-201BF," 1,317 ", 567 , 355 , 750 , 213 , 963 ,,
207,Tucson Electric Power Co,Tucson Intl AP,85641,R-70N-B," 2,173 ", 888 , 707 ," 1,285 ", 181 ," 1,466 ",,
208,Tucson Electric Power Co,Tucson Intl AP,85641,R-201CN," 1,801 ", 778 , 571 ," 1,024 ", 207 ," 1,230 ",,
209,Tucson Electric Power Co,Tucson Intl AP,85641,R-201AF," 1,474 ", 604 , 604 , 871 , 0 , 871 ,,
210,Tucson Electric Power Co,Tucson Intl AP,85641,R-05-21F," 1,494 ", 585 , 452 , 910 , 132 ," 1,042 ",,
211,Tucson Electric Power Co,Tucson Intl AP,85641,R-08-201A," 1,429 ", 569 , 569 , 860 , 0 , 860 ,,
212,Tucson Electric Power Co,Tucson Intl AP,85641,R-70N-C," 2,149 ", 949 , 658 ," 1,200 ", 291 ," 1,491 ",,
213,Tucson Electric Power Co,Tucson Intl AP,85641,TRRSP," 2,080 ", 779 , 779 ," 1,301 ", 0 ," 1,301 ",,
214,Tucson Electric Power Co,Tucson Intl AP,85641,R-08-201C," 1,329 ", 578 , 374 , 750 , 204 , 954 ,,
215,Tucson Electric Power Co,Tucson Intl AP,85641,R-05-01F," 1,641 ", 628 , 628 ," 1,013 ", (0)," 1,013 ",,
216,Tucson Electric Power Co,Tucson Intl AP,85641,R-08-201B," 1,371 ", 591 , 379 , 779 , 213 , 992 ,,
217,Tucson Electric Power Co,Tucson Intl AP,85641,R-70N-D," 2,159 ", 864 , 702 ," 1,295 ", 162 ," 1,458 ",,
218,Tucson Electric Power Co,Tucson Intl AP,85641,R-04-01F," 1,650 ", 631 , 631 ," 1,018 ", (0)," 1,018 ",,
219,Tucson Electric Power Co,Tucson Intl AP,85641,R-8," 1,876 ", 813 , 635 ," 1,063 ", 178 ," 1,241 ",,
220,Tucson Electric Power Co,Tucson Intl AP,85641,R-08-01," 1,597 ", 613 , 613 , 984 , (0), 984 ,,
221,Tucson Electric Power Co,Tucson Intl AP,85641,R-201BN," 1,907 ", 822 , 605 ," 1,085 ", 217 ," 1,302 ",,
222,Tucson Electric Power Co,Tucson Intl AP,85641,R-08-21-F," 1,516 ", 596 , 464 , 919 , 132 ," 1,051 ",,
223,Tucson Electric Power Co,Tucson Intl AP,85641,R-06-201B," 1,371 ", 591 , 379 , 779 , 213 , 992 ,,
224,Tucson Electric Power Co,Tucson Intl AP,85641,TRREST," 2,155 ", 836 , 794 ," 1,319 ", 42 ," 1,361 ",,
225,Tucson Electric Power Co,Tucson Intl AP,85641,R-02F, 883 , 331 , 331 , 552 , (0), 552 ,,
226,Tucson Electric Power Co,Tucson Intl AP,85641,TRRES," 2,210 ", 828 , 828 ," 1,382 ", (0)," 1,382 ",,
227,Tucson Electric Power Co,Tucson Intl AP,85641,R-05-201AF," 1,485 ", 588 , 588 , 897 , 0 , 897 ,,
228,Unitil Energy Systems,Concord Muni AP,3305,D," 2,189 "," 1,000 "," 1,000 "," 1,189 ", (0)," 1,189 ",,
229,Xcel Energy - Colorado,Denver Intl AP,80235,RD-TDR, 478 , 148 , 148 , 330 , 0 , 330 ,,
230,Xcel Energy - Colorado,Denver Intl AP,80235,RCPP," 1,354 ", 427 , 339 , 927 , 89 ," 1,016 ",,
231,Xcel Energy - Colorado,Denver Intl AP,80235,RPTR," 1,586 ", 480 , 479 ," 1,106 ", 0 ," 1,106 ",,
232,Xcel Energy - Colorado,Denver Intl AP,80235,RE-TOU," 1,494 ", 365 , 276 ," 1,129 ", 89 ," 1,218 ",,
233,Xcel Energy - Colorado,Denver Intl AP,80235,RTOU," 1,468 ", 467 , 311 ," 1,001 ", 156 ," 1,157 ",,
234,Xcel Energy - Colorado,Denver Intl AP,80235,RD, 701 , 449 , 303 , 252 , 146 , 398 ,,
235,Xcel Energy - Colorado,Denver Intl AP,80235,R," 1,562 ", 473 , 473 ," 1,088 ", 0 ," 1,088 ",,
