,Date/Time,Load,Bill Before Solar,Solar,Net Load,Bill Solar Only,Import Rate,Export Rate,basic storage,soc
71, 01/03  24:00:00,1.2758207436,0.0992588538521,0.0,1.2758207436,0.0992588538521,0.0778,0.0478,0.0,-0.0958501023978
72, 01/04  01:00:00,0.921234846818,0.0716720710824,0.0,0.921234846818,0.0716720710824,0.0778,0.0478,0.0,-0.0958501023978
73, 01/04  02:00:00,0.790076911567,0.0614679837199,0.0,0.790076911567,0.0614679837199,0.0778,0.0478,0.0,-0.0958501023978
74, 01/04  03:00:00,0.761663214785,0.0592573981103,0.0,0.761663214785,0.0592573981103,0.0778,0.0478,0.0,-0.0958501023978
75, 01/04  04:00:00,0.759315401302,0.0590747382213,0.0,0.759315401302,0.0590747382213,0.0778,0.0478,0.0,-0.0958501023978
76, 01/04  05:00:00,0.762101638526,0.0592915074773,0.0,0.762101638526,0.0592915074773,0.0778,0.0478,0.0,-0.0958501023978
77, 01/04  06:00:00,0.830410994645,0.0646059753834,0.0,0.830410994645,0.0646059753834,0.0778,0.0478,0.0,-0.0958501023978
78, 01/04  07:00:00,1.0898967438,0.0847939666676,0.0,1.0898967438,0.0847939666676,0.0778,0.0478,0.0,-0.0958501023978
79, 01/04  08:00:00,1.47220537785,0.114537578397,0.31306,1.15914537785,0.0901815103967,0.0778,0.0478,0.0,-0.0958501023978
80, 01/04  09:00:00,1.37183170375,0.0755742085596,1.375107,-0.00327529625,-8.21771829125e-05,0.05509,0.02509,-0.00327529625,-0.0954979200054
81, 01/04  10:00:00,1.11007839532,0.0611542187982,2.436996,-1.32691760468,-0.0332923627014,0.05509,0.02509,-1.32691760468,0.0471813923258
82, 01/04  11:00:00,1.07875643572,0.0594286920438,3.11117,-2.03241356428,-0.0509932563278,0.05509,0.02509,-2.03241356428,0.265720485259
83, 01/04  12:00:00,1.05672055192,0.0582147352053,3.485698,-2.42897744808,-0.0609430441723,0.05509,0.02509,-2.42897744808,0.52690085602
84, 01/04  13:00:00,1.03214748039,0.0568610046947,3.301038,-2.26889051961,-0.056926463137,0.05509,0.02509,-2.26889051961,0.770867578559
85, 01/04  14:00:00,1.00604036756,0.0554227638489,2.875966,-1.86992563244,-0.0469164341179,0.05509,0.02509,-1.86992563244,0.971934850865
86, 01/04  15:00:00,1.00949284344,0.0556129607451,2.105123,-1.09563015656,-0.0274893606281,0.05509,0.02509,-1.09563015656,1.08974454512
87, 01/04  16:00:00,1.0965185483,0.0604072068258,1.469843,-0.3733244517,-0.00936671049315,0.05509,0.02509,0.0,1.08974454512
88, 01/04  17:00:00,1.41303662389,0.248242274085,0.258709,1.15432762389,0.202792276965,0.17568,0.14568,1.15432762389,0.965623295238
89, 01/04  18:00:00,2.00755952442,0.35268805725,0.0,2.00755952442,0.35268805725,0.17568,0.14568,2.00755952442,0.749756679709
90, 01/04  19:00:00,2.42940264369,0.426797456443,0.0,2.42940264369,0.426797456443,0.17568,0.14568,2.42940264369,0.488530588989
91, 01/04  20:00:00,2.40449834834,0.422422269836,0.0,2.40449834834,0.422422269836,0.17568,0.14568,2.40449834834,0.22998237949
92, 01/04  21:00:00,2.22099285191,0.390184024224,0.0,2.22099285191,0.390184024224,0.17568,0.14568,2.22099285191,-0.00883405619892
93, 01/04  22:00:00,2.02738113528,0.157730252325,0.0,2.02738113528,0.157730252325,0.0778,0.0478,0.0,-0.00883405619892
94, 01/04  23:00:00,1.66312940746,0.1293914679,0.0,1.66312940746,0.1293914679,0.0778,0.0478,0.0,-0.00883405619892
95, 01/04  24:00:00,1.30290534583,0.101366035906,0.0,1.30290534583,0.101366035906,0.0778,0.0478,0.0,-0.00883405619892
96, 01/05  01:00:00,0.941239426183,0.073228427357,0.0,0.941239426183,0.073228427357,0.0778,0.0478,0.0,-0.00883405619892
97, 01/05  02:00:00,0.807665722883,0.0628363932403,0.0,0.807665722883,0.0628363932403,0.0778,0.0478,0.0,-0.00883405619892
98, 01/05  03:00:00,0.761596855133,0.0592522353293,0.0,0.761596855133,0.0592522353293,0.0778,0.0478,0.0,-0.00883405619892
99, 01/05  04:00:00,0.755933917937,0.0588116588155,0.0,0.755933917937,0.0588116588155,0.0778,0.0478,0.0,-0.00883405619892
100, 01/05  05:00:00,0.763437064941,0.0593954036524,0.0,0.763437064941,0.0593954036524,0.0778,0.0478,0.0,-0.00883405619892
101, 01/05  06:00:00,0.827445830423,0.0643752856069,0.0,0.827445830423,0.0643752856069,0.0778,0.0478,0.0,-0.00883405619892
102, 01/05  07:00:00,1.09326185107,0.0850557720132,0.0,1.09326185107,0.0850557720132,0.0778,0.0478,0.0,-0.00883405619892
103, 01/05  08:00:00,1.49992001209,0.116693776941,0.294667,1.20525301209,0.0937686843406,0.0778,0.0478,0.0,-0.00883405619892
104, 01/05  09:00:00,1.40469998,0.0773849218982,1.369073,0.03562698,0.0019626903282,0.05509,0.02509,0.0,-0.00883405619892
105, 01/05  10:00:00,1.18018494044,0.0650163883688,2.300999,-1.12081405956,-0.0281212247544,0.05509,0.02509,-1.12081405956,0.111683584614
106, 01/05  11:00:00,1.13548042718,0.0625536167333,2.826923,-1.69144257282,-0.0424382941521,0.05509,0.02509,-1.69144257282,0.293559130078
107, 01/05  12:00:00,1.11081379147,0.0611947317721,3.273607,-2.16279320853,-0.054264481602,0.05509,0.02509,-2.16279320853,0.526117539598
108, 01/05  13:00:00,1.0894309234,0.0600167495701,3.5158,-2.4263690766,-0.0608776001319,0.05509,0.02509,-2.4263690766,0.787017440308
109, 01/05  14:00:00,1.05284421796,0.0580011879674,3.189306,-2.13646178204,-0.0536038261114,0.05509,0.02509,-2.13646178204,1.01674451365
110, 01/05  15:00:00,1.06223994558,0.058518798602,2.220516,-1.15827605442,-0.0290611462054,0.05509,0.02509,0.0,1.01674451365
111, 01/05  16:00:00,1.16277355773,0.0640571952953,1.439552,-0.27677844227,-0.00694437111655,0.05509,0.02509,0.0,1.01674451365
