,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly total savings
45, 01/02  22:00:00,2.11355933342,0.16443491614,0.0,2.11355933342,0.16443491614,0.0778,0.0478,0.0,-0.0397476876055,2.11355933342,0.16443491614,0.0,1141.72253889
46, 01/02  23:00:00,1.74381737355,0.135668991662,0.0,1.74381737355,0.135668991662,0.0778,0.0478,0.0,-0.0397476876055,1.74381737355,0.135668991662,2.77555756156e-17,1141.72253889
47, 01/02  24:00:00,1.38643973821,0.107865011633,0.0,1.38643973821,0.107865011633,0.0778,0.0478,0.0,-0.0397476876055,1.38643973821,0.107865011633,0.0,1141.72253889
48, 01/03  01:00:00,1.03170848407,0.0802669200606,0.0,1.03170848407,0.0802669200606,0.0778,0.0478,0.0,-0.0397476876055,1.03170848407,0.0802669200606,0.0,1141.72253889
49, 01/03  02:00:00,0.898803829969,0.0699269379716,0.0,0.898803829969,0.0699269379716,0.0778,0.0478,0.0,-0.0397476876055,0.898803829969,0.0699269379716,0.0,1141.72253889
50, 01/03  03:00:00,0.865340257528,0.0673234720357,0.0,0.865340257528,0.0673234720357,0.0778,0.0478,0.0,-0.0397476876055,0.865340257528,0.0673234720357,0.0,1141.72253889
51, 01/03  04:00:00,0.875395632981,0.0681057802459,0.0,0.875395632981,0.0681057802459,0.0778,0.0478,0.0,-0.0397476876055,0.875395632981,0.0681057802459,0.0,1141.72253889
52, 01/03  05:00:00,0.884270249416,0.0687962254046,0.0,0.884270249416,0.0687962254046,0.0778,0.0478,0.0,-0.0397476876055,0.884270249416,0.0687962254046,0.0,1141.72253889
53, 01/03  06:00:00,0.956034163633,0.0743794579306,0.0,0.956034163633,0.0743794579306,0.0778,0.0478,0.0,-0.0397476876055,0.956034163633,0.0743794579306,0.0,1141.72253889
54, 01/03  07:00:00,1.22946583307,0.0956524418128,0.0,1.22946583307,0.0956524418128,0.0778,0.0478,0.0,-0.0397476876055,1.22946583307,0.0956524418128,0.0,1141.72253889
55, 01/03  08:00:00,1.65246695066,0.128561928761,0.031549,1.62091795066,0.126107416561,0.0778,0.0478,0.0,-0.0397476876055,1.62091795066,0.126107416561,0.0024545122,1141.72253889
56, 01/03  09:00:00,1.46267744832,0.0805789006279,0.919802,0.54287544832,0.0299070084479,0.05509,0.02509,0.0,-0.0397476876055,0.54287544832,0.0299070084479,0.05067189218,1141.72253889
57, 01/03  10:00:00,1.17126361447,0.0645249125212,1.862068,-0.69080438553,-0.0173322820329,0.05509,0.02509,-0.69080438553,0.0299331678105,0.0,0.0,0.0645249125212,1141.72253889
58, 01/03  11:00:00,1.11520889121,0.0614368578168,2.61446,-1.49925110879,-0.0376162103195,0.05509,0.02509,-1.49925110879,0.181161361974,0.0,0.0,0.0614368578168,1141.72253889
59, 01/03  12:00:00,1.08003738932,0.0594992597776,3.115408,-2.03537061068,-0.051067448622,0.05509,0.02509,-2.03537061068,0.386467477875,0.0,0.0,0.0594992597776,1141.72253889
60, 01/03  13:00:00,1.04809920739,0.0577397853351,3.127604,-2.07950479261,-0.0521747752466,0.05509,0.02509,-2.07950479261,0.596225371464,0.0,0.0,0.0577397853351,1141.72253889
61, 01/03  14:00:00,1.02222851161,0.0563145687046,2.935727,-1.91349848839,-0.0480096770737,0.05509,0.02509,-1.91349848839,0.789238349235,0.0,0.0,0.0563145687046,1141.72253889
62, 01/03  15:00:00,1.02653392061,0.0565517536864,2.165329,-1.13879507939,-0.0285723685419,0.05509,0.02509,-1.13879507939,0.904107647893,0.0,0.0,0.0565517536864,1141.72253889
63, 01/03  16:00:00,1.11624891748,0.061494152864,1.464393,-0.34814408252,-0.00873493503043,0.05509,0.02509,-0.34814408252,0.939224647707,0.0,0.0,0.061494152864,1141.72253889
64, 01/03  17:00:00,1.44194018161,0.253320051105,0.0,1.44194018161,0.253320051105,0.17568,0.14568,1.44194018161,0.793777358405,0.0,0.0,0.253320051105,1141.72253889
65, 01/03  18:00:00,2.05110186806,0.360337576181,0.0,2.05110186806,0.360337576181,0.17568,0.14568,2.05110186806,0.586884443846,0.0,0.0,0.360337576181,1141.72253889
66, 01/03  19:00:00,2.48905997297,0.437278056051,0.0,2.48905997297,0.437278056051,0.17568,0.14568,2.48905997297,0.335815064828,0.0,0.0,0.437278056051,1141.72253889
67, 01/03  20:00:00,2.46383396975,0.432846351806,0.0,2.46383396975,0.432846351806,0.17568,0.14568,2.46383396975,0.0872902114665,0.0,0.0,0.432846351806,1141.72253889
68, 01/03  21:00:00,2.28468146017,0.401372838923,0.0,2.28468146017,0.401372838923,0.17568,0.14568,0.0,0.0872902114665,2.28468146017,0.401372838923,0.0,1141.72253889
69, 01/03  22:00:00,2.10223391728,0.163553798764,0.0,2.10223391728,0.163553798764,0.0778,0.0478,0.0,0.0872902114665,2.10223391728,0.163553798764,-2.77555756156e-17,1141.72253889
70, 01/03  23:00:00,1.72614708771,0.134294243424,0.0,1.72614708771,0.134294243424,0.0778,0.0478,0.0,0.0872902114665,1.72614708771,0.134294243424,2.77555756156e-17,1141.72253889
71, 01/03  24:00:00,1.36456873198,0.106163447348,0.0,1.36456873198,0.106163447348,0.0778,0.0478,0.0,0.0872902114665,1.36456873198,0.106163447348,1.38777878078e-17,1141.72253889
72, 01/04  01:00:00,1.01778171582,0.0791834174908,0.0,1.01778171582,0.0791834174908,0.0778,0.0478,0.0,0.0872902114665,1.01778171582,0.0791834174908,0.0,1141.72253889
73, 01/04  02:00:00,0.878005707241,0.0683088440233,0.0,0.878005707241,0.0683088440233,0.0778,0.0478,0.0,0.0872902114665,0.878005707241,0.0683088440233,1.38777878078e-17,1141.72253889
74, 01/04  03:00:00,0.840975941395,0.0654279282405,0.0,0.840975941395,0.0654279282405,0.0778,0.0478,0.0,0.0872902114665,0.840975941395,0.0654279282405,0.0,1141.72253889
75, 01/04  04:00:00,0.84744706534,0.0659313816835,0.0,0.84744706534,0.0659313816835,0.0778,0.0478,0.0,0.0872902114665,0.84744706534,0.0659313816835,0.0,1141.72253889
76, 01/04  05:00:00,0.861408572553,0.0670175869446,0.0,0.861408572553,0.0670175869446,0.0778,0.0478,0.0,0.0872902114665,0.861408572553,0.0670175869446,1.38777878078e-17,1141.72253889
77, 01/04  06:00:00,0.931297640791,0.0724549564535,0.0,0.931297640791,0.0724549564535,0.0778,0.0478,0.0,0.0872902114665,0.931297640791,0.0724549564535,0.0,1141.72253889
78, 01/04  07:00:00,1.19645184673,0.0930839536756,0.0,1.19645184673,0.0930839536756,0.0778,0.0478,0.0,0.0872902114665,1.19645184673,0.0930839536756,0.0,1141.72253889
79, 01/04  08:00:00,1.61000817466,0.125258635989,0.026924,1.58308417466,0.123163948789,0.0778,0.0478,0.0,0.0872902114665,1.58308417466,0.123163948789,0.0020946872,1141.72253889
80, 01/04  09:00:00,1.48529620537,0.0818249679538,0.883632,0.60166420537,0.0331456810738,0.05509,0.02509,0.0,0.0872902114665,0.60166420537,0.0331456810738,0.04867928688,1141.72253889
81, 01/04  10:00:00,1.21955192577,0.0671851155907,1.218113,0.00143892577,7.92704206693e-05,0.05509,0.02509,0.0,0.0872902114665,0.00143892577,7.92704206693e-05,0.06710584517,1141.72253889
82, 01/04  11:00:00,1.19152204418,0.0656409494139,1.076471,0.11505104418,0.00633816202388,0.05509,0.02509,0.0,0.0872902114665,0.11505104418,0.00633816202388,0.05930278739,1141.72253889
83, 01/04  12:00:00,1.16295908941,0.0640674162356,2.556696,-1.39373691059,-0.0349688590867,0.05509,0.02509,-1.39373691059,0.227875277498,0.0,0.0,0.0640674162356,1141.72253889
84, 01/04  13:00:00,1.11550906371,0.0614533943198,2.744464,-1.62895493629,-0.0408704793515,0.05509,0.02509,-1.62895493629,0.392186587288,0.0,0.0,0.0614533943198,1141.72253889
85, 01/04  14:00:00,1.05381940226,0.0580549108705,3.096282,-2.04246259774,-0.0512453865773,0.05509,0.02509,-2.04246259774,0.598208065939,4.4408920985e-16,1.11421982751e-17,0.0580549108705,1141.72253889
86, 01/04  15:00:00,1.04388249819,0.0575074868253,2.114276,-1.07039350181,-0.0268561729604,0.05509,0.02509,-1.07039350181,0.706177755189,0.0,0.0,0.0575074868253,1141.72253889
