,Date/Time,Load,Bill Before Solar,Solar,Net Load,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,savings,yearly total savings
48, 01/03  01:00:00,0.944761899686,0.0735024757956,0.0,0.944761899686,0.0735024757956,0.0778,0.0478,0.0,-0.031187411937,0.0735024757956,1463.74310634
49, 01/03  02:00:00,0.7955039633,0.0618902083447,0.0,0.7955039633,0.0618902083447,0.0778,0.0478,0.0,-0.031187411937,0.0618902083447,1463.74310634
50, 01/03  03:00:00,0.725871795604,0.056472825698,0.0,0.725871795604,0.056472825698,0.0778,0.0478,0.0,-0.031187411937,0.056472825698,1463.74310634
51, 01/03  04:00:00,0.705311079636,0.0548732019957,0.0,0.705311079636,0.0548732019957,0.0778,0.0478,0.0,-0.031187411937,0.0548732019957,1463.74310634
52, 01/03  05:00:00,0.719471116699,0.0559748528792,0.0,0.719471116699,0.0559748528792,0.0778,0.0478,0.0,-0.031187411937,0.0559748528792,1463.74310634
53, 01/03  06:00:00,0.77603892158,0.0603758280989,0.0,0.77603892158,0.0603758280989,0.0778,0.0478,0.0,-0.031187411937,0.0603758280989,1463.74310634
54, 01/03  07:00:00,1.05732851668,0.0822601585977,0.0,1.05732851668,0.0822601585977,0.0778,0.0478,0.0,-0.031187411937,0.0822601585977,1463.74310634
55, 01/03  08:00:00,1.44666796615,0.112550767766,0.323903,1.12276496615,0.0873511143665,0.0778,0.0478,0.0,-0.031187411937,0.112550767766,1463.74310634
56, 01/03  09:00:00,1.33099585056,0.0733245614074,1.422883,-0.09188714944,-0.00230544857945,0.05509,0.02509,-0.09188714944,-0.0219188327142,-0.0185625880326,1463.74310634
57, 01/03  10:00:00,1.07457924313,0.059198570504,2.348478,-1.27389875687,-0.0319621198099,0.05509,0.02509,-1.27389875687,0.10657825988,-1.21470018637,1463.74310634
58, 01/03  11:00:00,1.04497813611,0.0575678455183,2.914794,-1.86981586389,-0.046913680025,0.05509,0.02509,-1.86981586389,0.29518500818,-1.81224801837,1463.74310634
59, 01/03  12:00:00,1.04896635814,0.0577875566699,3.122062,-2.07309564186,-0.0520139696543,0.05509,0.02509,-2.07309564186,0.504296416142,-2.01530808519,1463.74310634
60, 01/03  13:00:00,1.03214748039,0.0568610046947,3.21935,-2.18720251961,-0.054876911217,0.05509,0.02509,-2.18720251961,0.72491768857,-2.13034151492,1463.74310634
61, 01/03  14:00:00,1.00604036756,0.0554227638489,3.106341,-2.10030063244,-0.0526965428679,0.05509,0.02509,-2.10030063244,0.936773240973,-2.04487786859,1463.74310634
62, 01/03  15:00:00,1.00949284344,0.0556129607451,2.44485,-1.43535715656,-0.0360131110581,0.05509,0.02509,-1.43535715656,1.08155650609,-1.37974419581,1463.74310634
63, 01/03  16:00:00,1.0965185483,0.0604072068258,1.398607,-0.3020884517,-0.00757939925315,0.05509,0.02509,0.0,1.08155650609,0.0604072068258,1463.74310634
64, 01/03  17:00:00,1.41303662389,0.248242274085,0.233501,1.17953562389,0.207220818405,0.17568,0.14568,1.17953562389,0.962577743092,1.42777789797,1463.74310634
65, 01/03  18:00:00,2.00382228517,0.352031499059,0.0,2.00382228517,0.352031499059,0.17568,0.14568,2.00382228517,0.760453880162,2.35585378423,1463.74310634
66, 01/03  19:00:00,2.42352747639,0.425765307052,0.0,2.42352747639,0.425765307052,0.17568,0.14568,2.42352747639,0.515994708773,2.84929278344,1463.74310634
