,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly total savings
42, 01/02  19:00:00,2.45107024461,0.430604020573,0.0,2.45107024461,0.430604020573,0.17568,0.14568,2.45107024461,0.516691982352,0.0,0.0,0.430604020573,1277.52298812
43, 01/02  20:00:00,2.43310146907,0.427447266086,0.0,2.43310146907,0.427447266086,0.17568,0.14568,2.43310146907,0.2712670904,0.0,0.0,0.427447266086,1277.52298812
44, 01/02  21:00:00,2.27142773553,0.399044424578,0.0,2.27142773553,0.399044424578,0.17568,0.14568,2.27142773553,0.0421500915177,0.0,0.0,0.399044424578,1277.52298812
45, 01/02  22:00:00,2.07554959477,0.161477758473,0.0,2.07554959477,0.161477758473,0.0778,0.0478,0.0,0.0421500915177,2.07554959477,0.161477758473,0.0,1277.52298812
46, 01/02  23:00:00,1.71889373813,0.133729932827,0.0,1.71889373813,0.133729932827,0.0778,0.0478,0.0,0.0421500915177,1.71889373813,0.133729932827,0.0,1277.52298812
47, 01/02  24:00:00,1.35836725195,0.105680972202,0.0,1.35836725195,0.105680972202,0.0778,0.0478,0.0,0.0421500915177,1.35836725195,0.105680972202,-1.38777878078e-17,1277.52298812
48, 01/03  01:00:00,1.00006113488,0.0778047562937,0.0,1.00006113488,0.0778047562937,0.0778,0.0478,0.0,0.0421500915177,1.00006113488,0.0778047562937,-1.38777878078e-17,1277.52298812
49, 01/03  02:00:00,0.878237469737,0.0683268751455,0.0,0.878237469737,0.0683268751455,0.0778,0.0478,0.0,0.0421500915177,0.878237469737,0.0683268751455,0.0,1277.52298812
50, 01/03  03:00:00,0.829935776281,0.0645690033947,0.0,0.829935776281,0.0645690033947,0.0778,0.0478,0.0,0.0421500915177,0.829935776281,0.0645690033947,0.0,1277.52298812
51, 01/03  04:00:00,0.824380289322,0.0641367865093,0.0,0.824380289322,0.0641367865093,0.0778,0.0478,0.0,0.0421500915177,0.824380289322,0.0641367865093,0.0,1277.52298812
52, 01/03  05:00:00,0.828586411723,0.064464022832,0.0,0.828586411723,0.064464022832,0.0778,0.0478,0.0,0.0421500915177,0.828586411723,0.064464022832,1.38777878078e-17,1277.52298812
53, 01/03  06:00:00,0.892072369021,0.0694032303098,0.0,0.892072369021,0.0694032303098,0.0778,0.0478,0.0,0.0421500915177,0.892072369021,0.0694032303098,1.38777878078e-17,1277.52298812
